Round,Tick,Victim,VictimPosition,Attacker,AttackerPosition
19,251299,dennis,"""515.6810913085938,-271.4150085449219,97.00233459472656""",pashaBiceps g2a.com,"""395.6679382324219,-39.085487365722656,4.016689300537109"""
19,251906,pashaBiceps g2a.com,"""690.2335205078125,-176.6075439453125,64.03125""",olofmeister,"""-49.49888610839844,-686.25439453125,63.104007720947266"""
19,252768,wenton,"""-1337.0186767578125,-1104.6678466796875,40.60273742675781""",neo g2a.com,"""-1539.55078125,-1007.7379760742188,-11.96875"""
19,253293,olofmeister,"""-209.98533630371094,-767.8326416015625,-44.152198791503906""",neo g2a.com,"""-1091.010498046875,-981.1677856445312,-102.53578186035156"""
19,253822,TaZ g2a.com,"""744.5446166992188,-631.5953979492188,-38.803977966308594""",Lekr0,"""717.4036865234375,-249.24391174316406,0.03125"""
19,253835,Lekr0,"""719.746337890625,-251.48097229003906,64.03125""",byali g2a.com,"""649.8641357421875,-998.97119140625,-106.22126007080078"""
19,253985,twist,"""-1752.7503662109375,-874.8982543945312,52.945472717285156""",neo g2a.com,"""-1153.177734375,-768.2927856445312,-79.8445816040039"""
20,261391,twist,"""-2961.8798828125,-824.2200317382812,89.51895904541016""",pashaBiceps g2a.com,"""-2922.218017578125,-607.67919921875,1.03125"""
20,262472,Snax g2a.com,"""-2287.357177734375,-1125.819091796875,68.03125""",wenton,"""-2116.12109375,-1396.7529296875,-3.891040086746216"""
20,262540,byali g2a.com,"""-2433.717529296875,-1428.5201416015625,63.74324035644531""",Lekr0,"""-2283.58447265625,-1530.665283203125,-14.381914138793945"""
20,262587,Lekr0,"""-2271.103271484375,-1513.2529296875,32.7390251159668""",TaZ g2a.com,"""-2472.303466796875,-1373.2200927734375,8.66625690460205"""
20,262848,pashaBiceps g2a.com,"""-2621.67333984375,-687.6956176757812,78.4501953125""",dennis,"""-1964.262451171875,-1208.127197265625,0.03125"""
20,263063,TaZ g2a.com,"""-2243.0126953125,-1508.421875,50.56713104248047""",wenton,"""-2186.138916015625,-1361.048095703125,-4.029102325439453"""
20,263476,wenton,"""-2211.3291015625,-1325.3011474609375,60.16844177246094""",neo g2a.com,"""-2031.8255615234375,-611.907958984375,-90.39984130859375"""
20,266553,neo g2a.com,"""-2500.97998046875,-1354.7445068359375,49.463401794433594""",dennis,"""-2468.347900390625,-1504.0198974609375,149.11924743652344"""
21,286078,Lekr0,"""-495.57696533203125,-663.2726440429688,32.03125""",TaZ g2a.com,"""-832.2377319335938,-726.4081420898438,-31.96875"""
21,286441,byali g2a.com,"""248.16690063476562,-95.21332550048828,48.711936950683594""",olofmeister,"""598.7158203125,-1374.5450439453125,-79.96875"""
21,286705,neo g2a.com,"""-451.4665222167969,-582.0701904296875,32.03125""",olofmeister,"""443.1036376953125,-1420.2547607421875,-79.96875"""
21,287004,dennis,"""-184.51100158691406,-814.12841796875,-46.93210220336914""",pashaBiceps g2a.com,"""201.90541076660156,-779.7954711914062,-91.96875"""
21,287068,olofmeister,"""614.7345581054688,-1387.7657470703125,-21.831493377685547""",Snax g2a.com,"""215.0408477783203,-101.09938049316406,-18.04857063293457"""
21,287127,wenton,"""-294.4075012207031,-685.2483520507812,0.03125""",TaZ g2a.com,"""-419.9846496582031,-524.2633666992188,-31.96875"""
21,288772,twist,"""272.2039489746094,-101.48816680908203,50.71194076538086""",Snax g2a.com,"""434.962158203125,-1173.1796875,-95.9549331665039"""
