Round,Tick,Player,PlayerPosition,Velocity
1,588,TaZ g2a.com,"""-2118.43115234375,-645.6968383789062,-84.68806457519531""","""-44.7221794128418,245.9673309326172,0"""
1,588,Snax g2a.com,"""-2828.6904296875,-720.504150390625,8.899325370788574""","""-188.39895629882812,164.3345184326172,0"""
1,589,olofmeister,"""-307.4246826171875,1211.3509521484375,107.13688659667969""","""48.621131896972656,-243.08694458007812,0"""
1,601,twist,"""-309.8009033203125,1296.9400634765625,50.07746505737305""","""1.5667489767074585,-249.99508666992188,0"""
1,603,byali g2a.com,"""-1868.1683349609375,-935.1707153320312,0.03125""","""214.24400329589844,115.14739227294922,0"""
1,607,pashaBiceps g2a.com,"""-2021.2138671875,-993.08935546875,0.03125""","""238.4070587158203,75.24675750732422,0"""
1,616,Lekr0,"""-287.6932373046875,1404.8050537109375,0.03125""","""-62.72064208984375,-235.002685546875,0"""
1,620,neo g2a.com,"""-1775.41650390625,-881.198486328125,0.03125""","""168.34939575195312,168.77134704589844,0"""
1,626,dennis,"""-302.9194030761719,1324.8778076171875,31.45229721069336""","""19.139238357543945,-249.26629638671875,0"""
1,626,wenton,"""-220.74832153320312,1248.0157470703125,0.03125""","""14.10647201538086,-244.59353637695312,0"""
1,626,TaZ g2a.com,"""-2131.850830078125,-572.701904296875,-119.96875""","""-42.49382019042969,246.36209106445312,0"""
1,626,Snax g2a.com,"""-2887.060546875,-674.6946411132812,4.713784217834473""","""-201.26927185058594,148.29257202148438,0"""
1,627,olofmeister,"""-304.7695007324219,1137.433837890625,128.03125""","""-1.3657517433166504,-247.91448974609375,0"""
1,639,twist,"""-310.8159484863281,1222.7330322265625,99.548828125""","""-8.645451545715332,-249.8504638671875,0"""
1,641,byali g2a.com,"""-1805.1842041015625,-899.9693603515625,0.03125""","""202.22732543945312,138.3080291748047,0"""
1,645,pashaBiceps g2a.com,"""-1950.163330078125,-972.4744262695312,0.03125""","""236.15792846679688,65.22598266601562,0"""
1,654,Lekr0,"""-297.37188720703125,1331.6337890625,26.948305130004883""","""-15.291584968566895,-249.5319061279297,0"""
1,658,neo g2a.com,"""-1714.53125,-866.7254028320312,0.03125""","""218.9960174560547,-48.423675537109375,0"""
